optimal_bounday_area = 1464.500000
Temperature	Acceptanced	Randum	Cost	WastedArea
4.3521e+01	2349.0000	13857	2823	335.5000	18.6389
4.1345e+01	2314.0000	12962	2570	329.5000	18.3668
3.9278e+01	2160.0000	12841	2425	320.5000	17.9552
3.7314e+01	2255.0000	12864	2369	310.0000	17.4697
3.5448e+01	2014.0000	12298	2196	310.0000	17.4697
3.3676e+01	1955.0000	12364	2030	310.0000	17.4697
3.1992e+01	1988.0000	11682	1797	295.5000	16.7898
3.0393e+01	2111.5000	11458	1803	295.5000	16.7898
2.8873e+01	1873.2500	10928	1650	295.5000	16.7898
2.7429e+01	1978.0000	10669	1507	268.0000	15.4690
2.6058e+01	2207.2500	10088	1365	268.0000	15.4690
2.4755e+01	1923.7500	10040	1252	251.0000	14.6313
2.3517e+01	2054.0000	9833	1192	251.0000	14.6313
2.2341e+01	1911.0000	9276	1023	232.0000	13.6752
2.1224e+01	1870.0000	9336	 999	216.5000	12.8792
2.0163e+01	1842.5000	8954	 969	174.0000	10.6195
1.9155e+01	1944.2500	8849	 850	174.0000	10.6195
1.8197e+01	1903.5000	8579	 754	174.0000	10.6195
1.7287e+01	1892.0000	8543	 736	173.5000	10.5922
1.6423e+01	1824.0000	7824	 633	163.0000	10.0154
1.5602e+01	1855.0000	7845	 558	163.0000	10.0154
1.4822e+01	1805.0000	7915	 563	163.0000	10.0154
1.4081e+01	1691.0000	7796	 514	163.0000	10.0154
1.3377e+01	1883.2500	7227	 393	163.0000	10.0154
1.2708e+01	1761.7500	6860	 385	163.0000	10.0154
1.2072e+01	1674.7500	6970	 314	163.0000	10.0154
1.1469e+01	1691.0000	6863	 279	145.0000	9.0090
1.0895e+01	1683.0000	6587	 269	141.5000	8.8107
1.0351e+01	1742.5000	6410	 245	141.5000	8.8107
9.8330e+00	1687.5000	6177	 221	95.7500	6.1368
9.3414e+00	1599.0000	6410	 193	95.7500	6.1368
8.8743e+00	1638.0000	6278	 179	95.7500	6.1368
8.4306e+00	1599.0000	5951	 128	95.7500	6.1368
8.0091e+00	1560.0000	6203	 131	95.5000	6.1218
7.6086e+00	1681.0000	5794	 125	95.5000	6.1218
7.2282e+00	1638.0000	5542	  61	95.5000	6.1218
6.8668e+00	1639.2500	5876	  75	95.5000	6.1218
6.5234e+00	1620.0000	5258	  77	95.5000	6.1218
6.1973e+00	1618.5000	4933	  47	95.5000	6.1218
5.8874e+00	1577.0000	4877	  57	93.5000	6.0013
5.5930e+00	1577.0000	4729	  33	93.5000	6.0013
5.3134e+00	1558.0000	4566	  21	93.5000	6.0013
5.0477e+00	1558.0000	4321	  13	93.5000	6.0013
4.7953e+00	1640.0000	4939	  28	93.5000	6.0013
4.5555e+00	1599.7500	4887	  50	93.5000	6.0013
4.3278e+00	1599.7500	4458	   9	93.5000	6.0013
4.1114e+00	1599.7500	4902	  10	93.5000	6.0013
3.9058e+00	1579.5000	4554	   5	93.5000	6.0013
3.7105e+00	1579.5000	4312	   7	93.5000	6.0013
3.5250e+00	1579.5000	4329	   5	93.5000	6.0013
3.3487e+00	1580.0000	4366	   2	93.5000	6.0013
3.1813e+00	1560.0000	4197	   3	93.5000	6.0013
3.0222e+00	1540.5000	3717	   1	76.0000	4.9335
2.8711e+00	1540.5000	3759	   0	76.0000	4.9335
2.7276e+00	1540.5000	3559	   0	76.0000	4.9335
2.5912e+00	1540.5000	3600	   0	76.0000	4.9335
2.4616e+00	1540.5000	3669	   0	76.0000	4.9335
2.3386e+00	1540.5000	3691	   0	76.0000	4.9335
2.2216e+00	1540.5000	3645	   0	76.0000	4.9335
2.1105e+00	1540.5000	3647	   1	76.0000	4.9335
2.0050e+00	1540.5000	3733	   0	76.0000	4.9335
1.9048e+00	1540.5000	3562	   0	76.0000	4.9335
1.8095e+00	1540.5000	3651	   0	76.0000	4.9335
1.7191e+00	1540.5000	3739	   0	76.0000	4.9335
1.6331e+00	1540.5000	3666	   0	76.0000	4.9335
1.5514e+00	1540.5000	3679	   0	76.0000	4.9335
1.4739e+00	1540.5000	3632	   0	76.0000	4.9335
1.4002e+00	1540.5000	3497	   0	76.0000	4.9335
1.3302e+00	1540.5000	3714	   0	76.0000	4.9335
1.2637e+00	1540.5000	3575	   0	76.0000	4.9335
1.2005e+00	1540.5000	3704	   0	76.0000	4.9335
1.1405e+00	1540.5000	3731	   0	76.0000	4.9335
1.0834e+00	1540.5000	3651	   0	76.0000	4.9335
1.0293e+00	1540.5000	3629	   0	76.0000	4.9335
9.7780e-01	1540.5000	3648	   0	76.0000	4.9335
9.2891e-01	1540.5000	3685	   0	76.0000	4.9335
8.8246e-01	1540.5000	3625	   0	76.0000	4.9335
8.3834e-01	1540.5000	3622	   0	76.0000	4.9335
7.9642e-01	1540.5000	3717	   0	76.0000	4.9335
7.5660e-01	1540.5000	3629	   0	76.0000	4.9335
7.1877e-01	1540.5000	3676	   0	76.0000	4.9335
6.8283e-01	1540.5000	3656	   0	76.0000	4.9335
6.4869e-01	1540.5000	3693	   0	76.0000	4.9335
6.1626e-01	1540.5000	3633	   0	76.0000	4.9335
5.8544e-01	1540.5000	3715	   0	76.0000	4.9335
5.5617e-01	1540.5000	3463	   0	76.0000	4.9335
5.2836e-01	1540.5000	3595	   0	76.0000	4.9335
5.0194e-01	1540.5000	3642	   0	76.0000	4.9335
4.7685e-01	1540.5000	3531	   0	76.0000	4.9335
4.5301e-01	1540.5000	3611	   0	76.0000	4.9335
4.3035e-01	1540.5000	3634	   0	76.0000	4.9335
4.0884e-01	1540.5000	3591	   0	76.0000	4.9335
3.8840e-01	1540.5000	3717	   0	76.0000	4.9335
3.6898e-01	1540.5000	3543	   0	76.0000	4.9335
3.5053e-01	1540.5000	3657	   0	76.0000	4.9335
3.3300e-01	1540.5000	3672	   0	76.0000	4.9335
3.1635e-01	1540.5000	3654	   0	76.0000	4.9335
3.0053e-01	1540.5000	3667	   0	76.0000	4.9335
2.8551e-01	1540.5000	3635	   0	76.0000	4.9335
2.7123e-01	1540.5000	3711	   0	76.0000	4.9335
2.5767e-01	1540.5000	3673	   0	76.0000	4.9335
2.4479e-01	1540.5000	3748	   0	76.0000	4.9335
2.3255e-01	1540.5000	3740	   0	76.0000	4.9335
2.2092e-01	1540.5000	3707	   0	76.0000	4.9335
2.0987e-01	1540.5000	3731	   0	76.0000	4.9335
1.9938e-01	1540.5000	3824	   0	76.0000	4.9335
1.8941e-01	1540.5000	3743	   0	76.0000	4.9335
1.7994e-01	1540.5000	3666	   0	76.0000	4.9335
1.7094e-01	1540.5000	3629	   0	76.0000	4.9335
1.6240e-01	1540.5000	3687	   0	76.0000	4.9335
1.5428e-01	1540.5000	3741	   0	76.0000	4.9335
1.4656e-01	1540.5000	3620	   0	76.0000	4.9335
1.3923e-01	1540.5000	3582	   0	76.0000	4.9335
1.3227e-01	1540.5000	3688	   0	76.0000	4.9335
1.2566e-01	1540.5000	3685	   0	76.0000	4.9335
1.1938e-01	1540.5000	3665	   0	76.0000	4.9335
1.1341e-01	1540.5000	3669	   0	76.0000	4.9335
1.0774e-01	1540.5000	3716	   0	76.0000	4.9335
1.0235e-01	1540.5000	3739	   0	76.0000	4.9335
9.7232e-02	1540.5000	3734	   0	76.0000	4.9335
9.2371e-02	1540.5000	3744	   0	76.0000	4.9335
8.7752e-02	1540.5000	3640	   0	76.0000	4.9335
8.3365e-02	1540.5000	3712	   0	76.0000	4.9335
7.9196e-02	1540.5000	3717	   0	76.0000	4.9335
7.5237e-02	1540.5000	3642	   0	76.0000	4.9335
7.1475e-02	1540.5000	3666	   0	76.0000	4.9335
6.7901e-02	1540.5000	3605	   0	76.0000	4.9335
6.4506e-02	1540.5000	3557	   0	76.0000	4.9335
6.1281e-02	1540.5000	3636	   0	76.0000	4.9335
5.8217e-02	1540.5000	3513	   0	76.0000	4.9335
5.5306e-02	1540.5000	3728	   0	76.0000	4.9335
5.2541e-02	1540.5000	3542	   0	76.0000	4.9335
4.9914e-02	1540.5000	3667	   0	76.0000	4.9335
4.7418e-02	1540.5000	3614	   0	76.0000	4.9335
4.5047e-02	1540.5000	3585	   0	76.0000	4.9335
4.2795e-02	1540.5000	3638	   0	76.0000	4.9335
4.0655e-02	1540.5000	3580	   0	76.0000	4.9335
3.8622e-02	1540.5000	3525	   0	76.0000	4.9335
3.6691e-02	1540.5000	3677	   0	76.0000	4.9335
3.4856e-02	1540.5000	3705	   0	76.0000	4.9335
3.3114e-02	1540.5000	3627	   0	76.0000	4.9335
